Апельсин,0.43,0.009,0.002,0.081
Банан,0.9,0.015,0.005,0.21
Чернослив,2.444,0.022,0,0.644
Курага,2.5,0.025,0,0.6
Изюм,3.5,0.025,0,0.825
Пармезан,3.928,0.286,0.286,0
Швейцарский,80,6,6,0
Сырок,140,8,7,13
Масло,7.143,0,0.786,0
Уй,160,1,8,19
Мёд,2.857,0,0,0.809
Эклер,43.33,0.67,2.67,6
Профитроль,45,0.67,3.5,2.67
Стандарт,1,0,0,0
Гороховый суп,0.69,0.04,0.02,0.08
Уха,0.66,0.05,0.03,0.06
Памперникель,62.5,2.0,0.5,11.5
Борщ,0.53,0.04,0.02,0.04
Миланское,65.0,0.5,3.5,7.5
Бигус,1.3,0.11,0.07,0.04
